"Id","Context","Source","es","prs","am","ar","az","bn","my","zh-CN","kw","fr","ha","hi","id","quc","km","rw","lo","mam","ne-NP","pbu","pt-PT","fuc","ru","sw","tl","ta","te","th","tr","vi"
"language.name","enter the name of your language like speakers would like to see it","English","Inglés","English","English","English","Ingilis","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English","English"
"stats.header","","Bloom Collection Statistics","Estadísticas de la colección Bloom","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Statistiques sur la Collection Bloom","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics","Bloom Collection Statistics"
"stats.overview","","Overview","Resumen","Overview","Overview","Overview","Ümumi baxış","Overview","Overview","Overview","Overview","Vue d'ensemble","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview","Overview"
"books","","Books","Libros","Books","Books","Books","Kitablar","Books","Books","Books","Books","Livres","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books","Books"
"topics","","Topics","Temas","Topics","Topics","Topics","Mövzular","Topics","Topics","Topics","Topics","Thématiques","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics","Topics"
"devices","","Devices","Aparatos","Devices","Devices","Devices","Cihazlar","Devices","Devices","Devices","Devices","Appareils","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices","Devices"
"stats.devices.info","","Count of devices for which we received notice that at least one book from this collection had been loaded.","Conteo de aparatos para los cuales recibimos la noticia de que al menos un libro de esta colección había sido cargado.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Nombre d'appareils pour lesquels nous avons reçu un avis qu'au moins un livre de cette collection avait été chargé.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded.","Count of devices for which we received notice that at least one book from this collection had been loaded."
"stats.devices.bloomReader","","with Bloom Reader","con Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","avec Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader","with Bloom Reader"
"stats.devices.mobile","","Mobile","Móviles","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile","Mobile"
"stats.devices.pc","","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC"
